maand	dag	jaar_vanaf	jaar_tot	code_bisdom	prioriteit	soort_feest	naam_lang	naam_kort	liturgische_tijd	liturgische_kleur	code_eigen	code_gem	code_dag	paginanummers
11	7	1970	2300	65535	40	h	Nederland: H. Willibrord, bisschop, verkondiger van ons geloof, patroon van de kerkprovincie (patroon van bisdom Utrecht en Haarlem)	Nederland: H. Willibrord		w	484	908		[]
11	8	1970	2300	65535	110	g	Utrecht: Alle HH. Bisschoppen van Utrecht, Albrik, Ansfried, Bernulf, Frederik, Hunger, Radboud en abt Gregorius	Utrecht: HH. Bisschoppen van Utrecht		w	487	930		[]
11	8	1970	2300	65535	110	g	Groningen: H. Willehad, bisschop	Groningen: H. Willehad		w	488	931		[]
11	9	1970	2300	65535	50	f	Kerkwijding van de basiliek van Lateranen	Kerkwijding basiliek van Lateranen		w	489	901		[]
11	10	1970	2300	65535	100	g	H. Leo de Grote, paus en kerkleraar	H. Leo de Grote		w	490	907 910		[]
11	11	1970	2300	65535	100	g	H. Martinus van Tours, bisschop	H. Martinus van Tours		w	491	908		[]
11	11	1970	2300	65535	80	f	Ordinariaat voor de Ned. Strijdkrachten: H. Martinus van Tours, bisschop, patroon van het ordinariaat	Ned. Strijdkrachten: H. Martinus van Tours		w	492	908		[]
11	12	1970	2300	65535	100	g	H. Josafat, bisschop en martelaar	H. Josafat		r	493	905 908		[]
11	15	1970	2300	65535	120		H. Albertus de Grote, bisschop en kerkleraar	H. Albertus de Grote		w	496	908 910		[]
11	16	1970	2300	65535	120		H. Margarita van Schotland	H. Margarita van Schotland		w	497	925		[]
11	16	1970	2300	65535	120		H. Gertrudis, maagd	H. Gertrudis		w	498	912 921		[]
11	17	1970	2300	65535	100	g	H. Elisabeth van Hongarije, kloosterlinge	H. Elisabeth van Hongarije		w	499	925		[]
11	18	1970	2300	65535	120		Kerkwijding van de basilieken van de apostelen Petrus en Paulus	Kerkwijding basilieken v/d HH. Petrus en Paulus		w	500	903		[]
11	21	1970	2300	65535	100	g	Opdracht van de heilige maagd Maria	Opdracht v/d H. Maria		w	501	902		[]
11	22	1970	2300	65535	100	g	H. Cecilia, maagd en martelares	H. Cecilia		r	502	906 913		[]
11	23	1970	2300	65535	120		H. Clemens I, paus en martelaar	H. Clemens I		r	503	905 907		[]
11	23	1970	2300	65535	120		H. Columbanus, abt	H. Columbanus		w	504	909 920		[]
11	24	1970	2300	65535	100	g	HH. Andreas Dung-Lac, priester, en gezellen, martelaren van Viëtnam	HH. Andreas Dung-Lac en gezellen		r	506	904		[]
11	25	1970	2300	65535	120		H. Catharina van Alexandrië, maagd en martelares	H. Catharina van Alexandrië		r	556	906 913		[]
11	27	1970	2300	65535	120		's-Hertogenbosch: H. Oda, maagd	's-Hertogenbosch: H. Oda		w	570	912		[]
11	28	1970	2300	65535	120		Roermond: Z. Maria Helena Stollenwerk, maagd	Roermond: Z. Maria Helena Stollenwerk		w	559	912		[]
11	30	1970	2300	65535	70	f	H. Andreas, apostel	H. Andreas		r	512	903		[]
12	1	1970	2300	65535	120		Breda: H. Eligius, bisschop	Breda: H. Eligius		w	514	908 931		[]
12	3	1970	2300	65535	100	g	H. Franciscus Xaverius, priester	H. Franciscus Xaverius		w	516	909		[]
12	4	1970	2300	65535	120		H. Johannes van Damascus, priester en kerkleraar	H. Johannes van Damascus		w	517	909 910		[]
12	6	1970	2300	65535	120		H. Nicolaas, bisschop	H. Nicolaas		w	518	908		[]
12	7	1970	2300	65535	100	g	H. Ambrosius, bisschop en kerkleraar	H. Ambrosius		w	519	908 910		[]
12	8	1970	2300	65535	30	h	Onbevlekte Ontvangenis van de heilige maagd Maria (patroonsfeest van het bisdom Roermond)	Onbevlekte Ontvangenis v/d H. Maria		w	520	902		[]
12	9	1970	2300	65535	120		H. Juan Diego Cuauhtlatoatzin	H. Juan Diego Cuauhtlatoatzin		w	557	915		[]
